MS,MS Name,CCI,Ver,Programme Title,Fund,Priority,TO_code,To short,TO long,Category of region,EAFRD Measure code,Measure short description,EAFRD Focus Area code,Focus area short description,EU Amount,National Amount,Total Amount,EU co-financing
FR,France,2014FR06RDRP083,6.1,Auvergne - Rural Development,EAFRD,P3,03,Competitiveness of SMEs,Enhancing the competitiveness of small and medium-sized enterprises (SMEs),VOID,M04,Physical Investment,FA_3A,Competitiveness of producers,13285000,7802301.59,21087301.59,63
FR,France,2014FR06RDRP083,6.1,Auvergne - Rural Development,EAFRD,P2,01,Research & Innovation,"Strengthening research, technological development and innovation",VOID,M16,Cooperation,FA_2A,Farm performance,1095000,370892.86,1465892.86,74.7
ES,Spain,2014ES06RDRP016,4.2,La Rioja  - Rural Development,EAFRD,P4,05,Climate Change Adaptation & Risk Prevention,"Promoting climate change adaptation, risk prevention and management",VOID,M11,Organic Farming,FA_P4,Priority 4,600000,600000,1200000,50
FR,France,2014FR06RDRP083,6.1,Auvergne - Rural Development,EAFRD,P4,06,Environment Protection & Resource Efficiency,Preserving and protecting the environment and promoting resource efficiency,VOID,M11,Organic Farming,FA_P4,Priority 4,16646250,5548750,22195000,75
FR,France,2014FR06RDRP083,6.1,Auvergne - Rural Development,EAFRD,P4,06,Environment Protection & Resource Efficiency,Preserving and protecting the environment and promoting resource efficiency,VOID,M10,Agri-environment-climate,FA_P4,Priority 4,27171000,9057000,36228000,75
ES,Spain,2014ES06RDRP016,4.2,La Rioja  - Rural Development,EAFRD,P5,06,Environment Protection & Resource Efficiency,Preserving and protecting the environment and promoting resource efficiency,VOID,M04,Physical Investment,FA_5A,Water efficiency,4950000,4950000,9900000,50
FR,France,2014FR06RDRP083,6.1,Auvergne - Rural Development,EAFRD,P4,05,Climate Change Adaptation & Risk Prevention,"Promoting climate change adaptation, risk prevention and management",VOID,M07,Basic services,FA_P4,Priority 4,4440500,2607912.7,7048412.7,63
FR,France,2014FR06RDRP083,6.1,Auvergne - Rural Development,EAFRD,P4,05,Climate Change Adaptation & Risk Prevention,"Promoting climate change adaptation, risk prevention and management",VOID,M10,Agri-environment-climate,FA_P4,Priority 4,27171000,9057000,36228000,75
ES,Spain,2014ES06RDRP016,4.2,La Rioja  - Rural Development,EAFRD,P4,05,Climate Change Adaptation & Risk Prevention,"Promoting climate change adaptation, risk prevention and management",VOID,M07,Basic services,FA_P4,Priority 4,75000,75000,150000,50
IT,Italy,2014IT05M2OP002,4,Governance and Institutional Capacity - IT - ESF/ERDF,ESF,4,TA,Technical Assistance,Technical Assistance,Less developed,VOID,VOID,VOID,VOID,34641886,11547296,46189182,75
ES,Spain,2014ES06RDRP016,4.2,La Rioja  - Rural Development,EAFRD,P4,06,Environment Protection & Resource Efficiency,Preserving and protecting the environment and promoting resource efficiency,VOID,M11,Organic Farming,FA_P4,Priority 4,600000,600000,1200000,50
FR,France,2014FR16M2OP004,3.1,Corse - ERDF/ESF,ERDF,1,01,Research & Innovation,"Strengthening research, technological development and innovation",Transition,VOID,VOID,VOID,VOID,20000000,13340000,33340000,59.99
FR,France,2014FR06RDRP083,6.1,Auvergne - Rural Development,EAFRD,P3,01,Research & Innovation,"Strengthening research, technological development and innovation",VOID,M16,Cooperation,FA_3A,Competitiveness of producers,1131000,302313.49,1433313.49,78.91
IT,Italy,2014IT05M2OP002,4,Governance and Institutional Capacity - IT - ESF/ERDF,ERDF,3,11,Efficient Public Administration,Enhancing institutional capacity of public authorities and stakeholders and efficient public administration,Transition,VOID,VOID,VOID,VOID,7997615,5331744,13329359,60
FR,France,2014FR06RDRP083,6.1,Auvergne - Rural Development,EAFRD,P4,05,Climate Change Adaptation & Risk Prevention,"Promoting climate change adaptation, risk prevention and management",VOID,M04,Physical Investment,FA_P4,Priority 4,726000,426380.95,1152380.95,63
FR,France,2014FR06RDRP083,6.1,Auvergne - Rural Development,EAFRD,P6,08,Sustainable & Quality Employment,Promoting sustainable and quality employment and supporting labour mobility,VOID,M08,Forest,FA_6A,"Diversification, SMEs and job creation",3463000,2033825.4,5496825.4,63
FR,France,2014FR06RDRP083,6.1,Auvergne - Rural Development,EAFRD,P2,03,Competitiveness of SMEs,Enhancing the competitiveness of small and medium-sized enterprises (SMEs),VOID,M04,Physical Investment,FA_2A,Farm performance,111311607,65373483.47,176685090.47,63
ES,Spain,2014ES06RDRP016,4.2,La Rioja  - Rural Development,EAFRD,,TA,Technical Assistance,Technical Assistance,VOID,M20,TA,FA_M20,M20 – Technical Assistance,10129,10129,20258,50
ES,Spain,2014ES06RDRP016,4.2,La Rioja  - Rural Development,EAFRD,P4,06,Environment Protection & Resource Efficiency,Preserving and protecting the environment and promoting resource efficiency,VOID,M07,Basic services,FA_P4,Priority 4,75000,75000,150000,50
