MS,MS Name,CCI,Ver,Programme Title,Fund,Priority,TO_code,To short,TO long,Category of region,EAFRD Measure code,Measure short description,EAFRD Focus Area code,Focus area short description,EU Amount,National Amount,Total Amount,EU co-financing
FR,France,2014FR06RDRP073,10,Midi-Pyrénées - Rural Development,EAFRD,P4,06,Environment Protection & Resource Efficiency,Preserving and protecting the environment and promoting resource efficiency,VOID,M13,Areas with natural constraints,FA_P4,Priority 4,465519898,155173299.31,620693197.31,75
FR,France,2014FR06RDRP073,10,Midi-Pyrénées - Rural Development,EAFRD,P5,04,Low-Carbon Economy,Supporting the shift towards a low-carbon economy in all sectors,VOID,M08,Forest,FA_5E,Carbon conservation / sequestration,7700000,6828301.89,14528301.89,53
FR,France,2014FR06RDRP073,10,Midi-Pyrénées - Rural Development,EAFRD,P5,04,Low-Carbon Economy,Supporting the shift towards a low-carbon economy in all sectors,VOID,M04,Physical Investment,FA_5E,Carbon conservation / sequestration,2800000,2483018.87,5283018.87,53
IT,Italy,2014IT16RFOP007,4,Campania - ERDF,ERDF,9,10,Educational & Vocational Training,"Investing in education, training and vocational training for skills and lifelong learning",Less developed,VOID,VOID,VOID,VOID,112182520,37394173,149576693,75
FR,France,2014FR06RDRP073,10,Midi-Pyrénées - Rural Development,EAFRD,P4,05,Climate Change Adaptation & Risk Prevention,"Promoting climate change adaptation, risk prevention and management",VOID,M10,Agri-environment-climate,FA_P4,Priority 4,31660651,10553550.33,42214201.33,75
IT,Italy,2014IT16RFOP007,4,Campania - ERDF,ERDF,2,02,Information & Communication Technologies,Enhancing access to and use and quality of information and communication technologies (ICT),Less developed,VOID,VOID,VOID,VOID,243812750,81270917,325083667,75
FR,France,2014FR06RDRP073,10,Midi-Pyrénées - Rural Development,EAFRD,,TA,Technical Assistance,Technical Assistance,VOID,M20,TA,FA_M20,M20 – Technical Assistance,6983411.34,6192836.47,13176247.81,53
PL,Poland,2014PL16M2OP008,3.1,Opolskie Voivodeship - ERDF/ESF,ERDF,X,09,Social Inclusion,"Promoting social inclusion, combating poverty and any discrimination",Less developed,VOID,VOID,VOID,VOID,76571726,13512658,90084384,85
FR,France,2014FR06RDRP073,10,Midi-Pyrénées - Rural Development,EAFRD,P5,01,Research & Innovation,"Strengthening research, technological development and innovation",VOID,M16,Cooperation,FA_5E,Carbon conservation / sequestration,1500000,1330188.68,2830188.68,53
FR,France,2014FR06RDRP073,10,Midi-Pyrénées - Rural Development,EAFRD,P4,06,Environment Protection & Resource Efficiency,Preserving and protecting the environment and promoting resource efficiency,VOID,M10,Agri-environment-climate,FA_P4,Priority 4,31660651,10553550.33,42214201.33,75
FR,France,2014FR06RDRP073,10,Midi-Pyrénées - Rural Development,EAFRD,P2,03,Competitiveness of SMEs,Enhancing the competitiveness of small and medium-sized enterprises (SMEs),VOID,M06,Farm and business development,FA_2A,Farm performance,1000000,886792.45,1886792.45,53
FR,France,2014FR06RDRP073,10,Midi-Pyrénées - Rural Development,EAFRD,P4,06,Environment Protection & Resource Efficiency,Preserving and protecting the environment and promoting resource efficiency,VOID,M12,NAT 2000 & WFD,FA_P4,Priority 4,50000,44339.62,94339.62,53
IT,Italy,2014IT16RFOP007,4,Campania - ERDF,ERDF,10,06,Environment Protection & Resource Efficiency,Preserving and protecting the environment and promoting resource efficiency,Less developed,VOID,VOID,VOID,VOID,65529744,21843248,87372992,75
UK,United Kingdom,2014UK06RDRP002,5.2,Northern Ireland - Rural Development,EAFRD,P3,03,Competitiveness of SMEs,Enhancing the competitiveness of small and medium-sized enterprises (SMEs),VOID,M04,Physical Investment,FA_3A,Competitiveness of producers,1576172,4261502.07,5837674.07,27
FR,France,2014FR06RDRP073,10,Midi-Pyrénées - Rural Development,EAFRD,P4,06,Environment Protection & Resource Efficiency,Preserving and protecting the environment and promoting resource efficiency,VOID,M04,Physical Investment,FA_P4,Priority 4,500000,443396.23,943396.23,53
IT,Italy,2014IT16RFOP007,4,Campania - ERDF,ERDF,3,03,Competitiveness of SMEs,Enhancing the competitiveness of small and medium-sized enterprises (SMEs),Less developed,VOID,VOID,VOID,VOID,221793394,73931131,295724525,75
FR,France,2014FR06RDRP073,10,Midi-Pyrénées - Rural Development,EAFRD,P3,03,Competitiveness of SMEs,Enhancing the competitiveness of small and medium-sized enterprises (SMEs),VOID,M04,Physical Investment,FA_3A,Competitiveness of producers,30158500,26744330.19,56902830.19,53
IT,Italy,2014IT16RFOP007,4,Campania - ERDF,ERDF,10,09,Social Inclusion,"Promoting social inclusion, combating poverty and any discrimination",Less developed,VOID,VOID,VOID,VOID,97081067,32360355,129441422,75
UK,United Kingdom,2014UK06RDRP002,5.2,Northern Ireland - Rural Development,EAFRD,P4,06,Environment Protection & Resource Efficiency,Preserving and protecting the environment and promoting resource efficiency,VOID,M10,Agri-environment-climate,FA_P4,Priority 4,48191812.5,16063937.5,64255750,75
FR,France,2014FR06RDRP073,10,Midi-Pyrénées - Rural Development,EAFRD,P3,03,Competitiveness of SMEs,Enhancing the competitiveness of small and medium-sized enterprises (SMEs),VOID,M03,Quality schemes,FA_3A,Competitiveness of producers,5000000,4433962.26,9433962.26,53
IT,Italy,2014IT16RFOP007,4,Campania - ERDF,ERDF,7,07,Network Infrastructures in Transport and Energy,Promoting sustainable transport and removing bottlenecks in key network infrastructures,Less developed,VOID,VOID,VOID,VOID,167631476,55877159,223508635,75
IT,Italy,2014IT16RFOP007,4,Campania - ERDF,ERDF,1,01,Research & Innovation,"Strengthening research, technological development and innovation",Less developed,VOID,VOID,VOID,VOID,371070720,123690240,494760960,75
UK,United Kingdom,2014UK06RDRP002,5.2,Northern Ireland - Rural Development,EAFRD,P4,06,Environment Protection & Resource Efficiency,Preserving and protecting the environment and promoting resource efficiency,VOID,M11,Organic Farming,FA_P4,Priority 4,1020731.5,340243.83,1360975.33,75
IT,Italy,2014IT16RFOP007,4,Campania - ERDF,ERDF,5,05,Climate Change Adaptation & Risk Prevention,"Promoting climate change adaptation, risk prevention and management",Less developed,VOID,VOID,VOID,VOID,277238546,92412849,369651395,75
IT,Italy,2014IT16RFOP007,4,Campania - ERDF,ERDF,8,09,Social Inclusion,"Promoting social inclusion, combating poverty and any discrimination",Less developed,VOID,VOID,VOID,VOID,114106762,38035587,152142349,75
UK,United Kingdom,2014UK06RDRP002,5.2,Northern Ireland - Rural Development,EAFRD,P3,01,Research & Innovation,"Strengthening research, technological development and innovation",VOID,M16,Cooperation,FA_3A,Competitiveness of producers,712195,1925564.26,2637759.26,27
UK,United Kingdom,2014UK06RDRP002,5.2,Northern Ireland - Rural Development,EAFRD,P4,06,Environment Protection & Resource Efficiency,Preserving and protecting the environment and promoting resource efficiency,VOID,M13,Areas with natural constraints,FA_P4,Priority 4,23780488,7926829.33,31707317.33,75
FR,France,2014FR06RDRP073,10,Midi-Pyrénées - Rural Development,EAFRD,P4,05,Climate Change Adaptation & Risk Prevention,"Promoting climate change adaptation, risk prevention and management",VOID,M12,NAT 2000 & WFD,FA_P4,Priority 4,50000,44339.62,94339.62,53
IT,Italy,2014IT16RFOP007,4,Campania - ERDF,ERDF,10,04,Low-Carbon Economy,Supporting the shift towards a low-carbon economy in all sectors,Less developed,VOID,VOID,VOID,VOID,18048182,6016061,24064243,75
FR,France,2014FR06RDRP073,10,Midi-Pyrénées - Rural Development,EAFRD,P6,01,Research & Innovation,"Strengthening research, technological development and innovation",VOID,M16,Cooperation,FA_6B,Local development,1000000,886792.45,1886792.45,53
FR,France,2014FR06RDRP073,10,Midi-Pyrénées - Rural Development,EAFRD,P4,05,Climate Change Adaptation & Risk Prevention,"Promoting climate change adaptation, risk prevention and management",VOID,M04,Physical Investment,FA_P4,Priority 4,500000,443396.23,943396.23,53
FR,France,2014FR06RDRP073,10,Midi-Pyrénées - Rural Development,EAFRD,P2,10,Educational & Vocational Training,"Investing in education, training and vocational training for skills and lifelong learning",VOID,M01,Knowledge,FA_2A,Farm performance,7100000,6296226.41,13396226.41,53
FR,France,2014FR06RDRP073,10,Midi-Pyrénées - Rural Development,EAFRD,P6,09,Social Inclusion,"Promoting social inclusion, combating poverty and any discrimination",VOID,M19,LEADER and CLLD,FA_6B,Local development,76762382.66,51174921.78,127937304.44,60
FR,France,2014FR06RDRP073,10,Midi-Pyrénées - Rural Development,EAFRD,P2,03,Competitiveness of SMEs,Enhancing the competitiveness of small and medium-sized enterprises (SMEs),VOID,M04,Physical Investment,FA_2A,Farm performance,95441500,84636801.88,180078301.88,53
IT,Italy,2014IT16RFOP007,4,Campania - ERDF,ERDF,6,06,Environment Protection & Resource Efficiency,Preserving and protecting the environment and promoting resource efficiency,Less developed,VOID,VOID,VOID,VOID,792978543,264326181,1057304724,75
FR,France,2014FR06RDRP073,10,Midi-Pyrénées - Rural Development,EAFRD,P3,01,Research & Innovation,"Strengthening research, technological development and innovation",VOID,M16,Cooperation,FA_3A,Competitiveness of producers,500000,443396.23,943396.23,53
IT,Italy,2014IT16RFOP007,4,Campania - ERDF,ERDF,4,04,Low-Carbon Economy,Supporting the shift towards a low-carbon economy in all sectors,Less developed,VOID,VOID,VOID,VOID,492311133,164103711,656414844,75
UK,United Kingdom,2014UK06RDRP002,5.2,Northern Ireland - Rural Development,EAFRD,P4,05,Climate Change Adaptation & Risk Prevention,"Promoting climate change adaptation, risk prevention and management",VOID,M07,Basic services,FA_P4,Priority 4,121951.5,329720.72,451672.22,27
FR,France,2014FR06RDRP073,10,Midi-Pyrénées - Rural Development,EAFRD,P2,01,Research & Innovation,"Strengthening research, technological development and innovation",VOID,M16,Cooperation,FA_2A,Farm performance,3100000,2749056.6,5849056.6,53
FR,France,2014FR06RDRP073,10,Midi-Pyrénées - Rural Development,EAFRD,P6,09,Social Inclusion,"Promoting social inclusion, combating poverty and any discrimination",VOID,M07,Basic services,FA_6B,Local development,8000000,7094339.62,15094339.62,53
FR,France,2014FR06RDRP073,10,Midi-Pyrénées - Rural Development,EAFRD,P4,05,Climate Change Adaptation & Risk Prevention,"Promoting climate change adaptation, risk prevention and management",VOID,M07,Basic services,FA_P4,Priority 4,3700000,3281132.08,6981132.08,53
IT,Italy,2014IT16RFOP007,4,Campania - ERDF,ERDF,11,TA,Technical Assistance,Technical Assistance,Less developed,VOID,VOID,VOID,VOID,77510837,25836946,103347783,75
FR,France,2014FR06RDRP073,10,Midi-Pyrénées - Rural Development,EAFRD,P2,03,Competitiveness of SMEs,Enhancing the competitiveness of small and medium-sized enterprises (SMEs),VOID,M06,Farm and business development,FA_2B,New farmers,75442965,18860741.25,94303706.25,80
FR,France,2014FR06RDRP073,10,Midi-Pyrénées - Rural Development,EAFRD,P4,05,Climate Change Adaptation & Risk Prevention,"Promoting climate change adaptation, risk prevention and management",VOID,M13,Areas with natural constraints,FA_P4,Priority 4,465519898,155173299.31,620693197.31,75
FR,France,2014FR06RDRP073,10,Midi-Pyrénées - Rural Development,EAFRD,P4,06,Environment Protection & Resource Efficiency,Preserving and protecting the environment and promoting resource efficiency,VOID,M11,Organic Farming,FA_P4,Priority 4,52658506,17552835.34,70211341.34,75
UK,United Kingdom,2014UK06RDRP002,5.2,Northern Ireland - Rural Development,EAFRD,P2,01,Research & Innovation,"Strengthening research, technological development and innovation",VOID,M16,Cooperation,FA_2A,Farm performance,304878,824299.78,1129177.78,27
FR,France,2014FR06RDRP073,10,Midi-Pyrénées - Rural Development,EAFRD,P5,10,Educational & Vocational Training,"Investing in education, training and vocational training for skills and lifelong learning",VOID,M01,Knowledge,FA_5E,Carbon conservation / sequestration,200000,177358.49,377358.49,53
IT,Italy,2014IT16RFOP007,4,Campania - ERDF,ERDF,10,03,Competitiveness of SMEs,Enhancing the competitiveness of small and medium-sized enterprises (SMEs),Less developed,VOID,VOID,VOID,VOID,33863708,11287903,45151611,75
FR,France,2014FR06RDRP073,10,Midi-Pyrénées - Rural Development,EAFRD,P4,05,Climate Change Adaptation & Risk Prevention,"Promoting climate change adaptation, risk prevention and management",VOID,M11,Organic Farming,FA_P4,Priority 4,52658506,17552835.34,70211341.34,75
FR,France,2014FR06RDRP073,10,Midi-Pyrénées - Rural Development,EAFRD,P4,06,Environment Protection & Resource Efficiency,Preserving and protecting the environment and promoting resource efficiency,VOID,M07,Basic services,FA_P4,Priority 4,3700000,3281132.08,6981132.08,53
FR,France,2014FR06RDRP073,10,Midi-Pyrénées - Rural Development,EAFRD,P5,06,Environment Protection & Resource Efficiency,Preserving and protecting the environment and promoting resource efficiency,VOID,M04,Physical Investment,FA_5A,Water efficiency,15000000,13301886.8,28301886.8,53
ES,Spain,2014ES06RDRP002,5.2,Aragón  - Rural Development blabla from pipo,EAFRD,,DM,Competitiveness of SMEs,Enhancing the competitiveness of small and medium-sized enterprises (SMEs),VOID,M113,Early retirement,FA_M113,M113,733013,650030.4,1383043.4,53
ES,Spain,2014ES06RDRP002,5.2,Aragón  - Rural Development blabla from pipo,EAFRD,P3,03,Competitiveness of SMEs,Enhancing the competitiveness of small and medium-sized enterprises (SMEs),VOID,M04,Physical Investment,FA_3A,Competitiveness of producers,59407622,52682230.83,112089852.83,53
ES,Spain,2014ES06RDRP002,5.2,Aragón  - Rural Development blabla from pipo,EAFRD,P2,03,Competitiveness of SMEs,Enhancing the competitiveness of small and medium-sized enterprises (SMEs),VOID,M04,Physical Investment,FA_2A,Farm performance,72764280.64,64526814.9,137291095.54,53
IT,Italy,2014IT16RFOP011,3.2,Liguria - ERDF,ERDF,6,02,Information & Communication Technologies,Enhancing access to and use and quality of information and communication technologies (ICT),More developed,VOID,VOID,VOID,VOID,2500000,2500000,5000000,50
IT,Italy,2014IT16M2OP002,4,Puglia  - ERDF/ESF,ESF,X,10,Educational & Vocational Training,"Investing in education, training and vocational training for skills and lifelong learning",Less developed,VOID,VOID,VOID,VOID,301500000,301500000,603000000,50
ES,Spain,2014ES06RDRP002,5.2,Aragón  - Rural Development blabla from pipo,EAFRD,P6,09,Social Inclusion,"Promoting social inclusion, combating poverty and any discrimination",VOID,M19,LEADER and CLLD,FA_6B,Local development,61599543,15399885.75,76999428.75,80
IT,Italy,2014IT16M2OP002,4,Puglia  - ERDF/ESF,ESF,IX,09,Social Inclusion,"Promoting social inclusion, combating poverty and any discrimination",Less developed,VOID,VOID,VOID,VOID,170000000,170000000,340000000,50
IT,Italy,2014IT16RFOP011,3.2,Liguria - ERDF,ERDF,7,TA,Technical Assistance,Technical Assistance,More developed,VOID,VOID,VOID,VOID,7772620,7772620,15545240,50
ES,Spain,2014ES06RDRP002,5.2,Aragón  - Rural Development blabla from pipo,EAFRD,P4,06,Environment Protection & Resource Efficiency,Preserving and protecting the environment and promoting resource efficiency,VOID,M07,Basic services,FA_P4,Priority 4,2083235.42,1847397.45,3930632.87,53
IT,Italy,2014IT16M2OP002,4,Puglia  - ERDF/ESF,ERDF,XII,09,Social Inclusion,"Promoting social inclusion, combating poverty and any discrimination",Less developed,VOID,VOID,VOID,VOID,32500000,32500000,65000000,50
ES,Spain,2014ES06RDRP002,5.2,Aragón  - Rural Development blabla from pipo,EAFRD,P4,06,Environment Protection & Resource Efficiency,Preserving and protecting the environment and promoting resource efficiency,VOID,M15,Forest-environment,FA_P4,Priority 4,462500,154166.67,616666.67,75
ES,Spain,2014ES06RDRP002,5.2,Aragón  - Rural Development blabla from pipo,EAFRD,P4,05,Climate Change Adaptation & Risk Prevention,"Promoting climate change adaptation, risk prevention and management",VOID,M11,Organic Farming,FA_P4,Priority 4,4884586.51,1628195.5,6512782.01,75
UK,United Kingdom,2014UK06RDRP002,5.2,Northern Ireland - Rural Development,EAFRD,P4,05,Climate Change Adaptation & Risk Prevention,"Promoting climate change adaptation, risk prevention and management",VOID,M10,Agri-environment-climate,FA_P4,Priority 4,48191812.5,16063937.5,64255750,75
IT,Italy,2014IT16M2OP002,4,Puglia  - ERDF/ESF,ERDF,VII,07,Network Infrastructures in Transport and Energy,Promoting sustainable transport and removing bottlenecks in key network infrastructures,Less developed,VOID,VOID,VOID,VOID,231040314,231040314,462080628,50
ES,Spain,2014ES06RDRP002,5.2,Aragón  - Rural Development blabla from pipo,EAFRD,P4,05,Climate Change Adaptation & Risk Prevention,"Promoting climate change adaptation, risk prevention and management",VOID,M10,Agri-environment-climate,FA_P4,Priority 4,28490373.75,9496791.25,37987165,75
IT,Italy,2014IT16RFOP011,3.2,Liguria - ERDF,ERDF,1,01,Research & Innovation,"Strengthening research, technological development and innovation",More developed,VOID,VOID,VOID,VOID,40000000,40000000,80000000,50
ES,Spain,2014ES06RDRP002,5.2,Aragón  - Rural Development blabla from pipo,EAFRD,P2,01,Research & Innovation,"Strengthening research, technological development and innovation",VOID,M16,Cooperation,FA_2A,Farm performance,4581775,1145443.75,5727218.75,80
UK,United Kingdom,2014UK06RDRP002,5.2,Northern Ireland - Rural Development,EAFRD,P4,06,Environment Protection & Resource Efficiency,Preserving and protecting the environment and promoting resource efficiency,VOID,M08,Forest,FA_P4,Priority 4,2273171,960072.7,3233243.7,70.31
ES,Spain,2014ES06RDRP002,5.2,Aragón  - Rural Development blabla from pipo,EAFRD,P2,10,Educational & Vocational Training,"Investing in education, training and vocational training for skills and lifelong learning",VOID,M01,Knowledge,FA_2A,Farm performance,4566122.92,1141530.73,5707653.65,80
ES,Spain,2014ES06RDRP002,5.2,Aragón  - Rural Development blabla from pipo,EAFRD,P4,06,Environment Protection & Resource Efficiency,Preserving and protecting the environment and promoting resource efficiency,VOID,M04,Physical Investment,FA_P4,Priority 4,990592,878449.51,1869041.51,53
ES,Spain,2014ES06RDRP002,5.2,Aragón  - Rural Development blabla from pipo,EAFRD,P4,06,Environment Protection & Resource Efficiency,Preserving and protecting the environment and promoting resource efficiency,VOID,M08,Forest,FA_P4,Priority 4,21056662.86,18451506.05,39508168.91,53.3
UK,United Kingdom,2014UK06RDRP002,5.2,Northern Ireland - Rural Development,EAFRD,P4,01,Research & Innovation,"Strengthening research, technological development and innovation",VOID,M16,Cooperation,FA_P4,Priority 4,243902,659438.74,903340.74,27
IT,Italy,2014IT16M2OP002,4,Puglia  - ERDF/ESF,ERDF,I,01,Research & Innovation,"Strengthening research, technological development and innovation",Less developed,VOID,VOID,VOID,VOID,336183406,336183406,672366812,50
ES,Spain,2014ES06RDRP002,5.2,Aragón  - Rural Development blabla from pipo,EAFRD,P4,06,Environment Protection & Resource Efficiency,Preserving and protecting the environment and promoting resource efficiency,VOID,M10,Agri-environment-climate,FA_P4,Priority 4,28490373.75,9496791.25,37987165,75
ES,Spain,2014ES06RDRP002,5.2,Aragón  - Rural Development blabla from pipo,EAFRD,P4,01,Research & Innovation,"Strengthening research, technological development and innovation",VOID,M16,Cooperation,FA_P4,Priority 4,4774924.34,1193731.09,5968655.43,80
IT,Italy,2014IT16M2OP002,4,Puglia  - ERDF/ESF,ERDF,II,02,Information & Communication Technologies,Enhancing access to and use and quality of information and communication technologies (ICT),Less developed,VOID,VOID,VOID,VOID,135888502,135888502,271777004,50
IT,Italy,2014IT16RFOP011,3.2,Liguria - ERDF,ERDF,4,04,Low-Carbon Economy,Supporting the shift towards a low-carbon economy in all sectors,More developed,VOID,VOID,VOID,VOID,30500000,30500000,61000000,50
ES,Spain,2014ES06RDRP002,5.2,Aragón  - Rural Development blabla from pipo,EAFRD,P3,10,Educational & Vocational Training,"Investing in education, training and vocational training for skills and lifelong learning",VOID,M01,Knowledge,FA_3A,Competitiveness of producers,355142.87,88785.72,443928.59,80
IT,Italy,2014IT16RFOP011,3.2,Liguria - ERDF,ERDF,5,05,Climate Change Adaptation & Risk Prevention,"Promoting climate change adaptation, risk prevention and management",More developed,VOID,VOID,VOID,VOID,12500000,12500000,25000000,50
UK,United Kingdom,2014UK06RDRP002,5.2,Northern Ireland - Rural Development,EAFRD,P4,06,Environment Protection & Resource Efficiency,Preserving and protecting the environment and promoting resource efficiency,VOID,M04,Physical Investment,FA_P4,Priority 4,10548780.5,3516260.17,14065040.67,75
UK,United Kingdom,2014UK06RDRP002,5.2,Northern Ireland - Rural Development,EAFRD,P4,05,Climate Change Adaptation & Risk Prevention,"Promoting climate change adaptation, risk prevention and management",VOID,M11,Organic Farming,FA_P4,Priority 4,1020731.5,340243.83,1360975.33,75
ES,Spain,2014ES06RDRP002,5.2,Aragón  - Rural Development blabla from pipo,EAFRD,P3,01,Research & Innovation,"Strengthening research, technological development and innovation",VOID,M16,Cooperation,FA_3A,Competitiveness of producers,4944350.52,1236087.63,6180438.15,80
IT,Italy,2014IT16M2OP002,4,Puglia  - ERDF/ESF,ERDF,III,03,Competitiveness of SMEs,Enhancing the competitiveness of small and medium-sized enterprises (SMEs),Less developed,VOID,VOID,VOID,VOID,558999535,558999535,1117999070,50
ES,Spain,2014ES06RDRP002,5.2,Aragón  - Rural Development blabla from pipo,EAFRD,P2,01,Research & Innovation,"Strengthening research, technological development and innovation",VOID,M02,Advisory services,FA_2A,Farm performance,4886756,4333538.34,9220294.34,53
IT,Italy,2014IT16M2OP002,4,Puglia  - ERDF/ESF,ESF,VIII,08,Sustainable & Quality Employment,Promoting sustainable and quality employment and supporting labour mobility,Less developed,VOID,VOID,VOID,VOID,270909449,270909449,541818898,50
ES,Spain,2014ES06RDRP002,5.2,Aragón  - Rural Development blabla from pipo,EAFRD,P5,06,Environment Protection & Resource Efficiency,Preserving and protecting the environment and promoting resource efficiency,VOID,M04,Physical Investment,FA_5A,Water efficiency,10342002.92,9171210.14,19513213.06,53
IT,Italy,2014IT16RFOP011,3.2,Liguria - ERDF,ERDF,2,02,Information & Communication Technologies,Enhancing access to and use and quality of information and communication technologies (ICT),More developed,VOID,VOID,VOID,VOID,18000000,18000000,36000000,50
ES,Spain,2014ES06RDRP002,5.2,Aragón  - Rural Development blabla from pipo,EAFRD,P4,05,Climate Change Adaptation & Risk Prevention,"Promoting climate change adaptation, risk prevention and management",VOID,M04,Physical Investment,FA_P4,Priority 4,990592,878449.51,1869041.51,53
UK,United Kingdom,2014UK06RDRP002,5.2,Northern Ireland - Rural Development,EAFRD,P4,05,Climate Change Adaptation & Risk Prevention,"Promoting climate change adaptation, risk prevention and management",VOID,M04,Physical Investment,FA_P4,Priority 4,10548780.5,3516260.17,14065040.67,75
ES,Spain,2014ES06RDRP002,5.2,Aragón  - Rural Development blabla from pipo,EAFRD,P4,05,Climate Change Adaptation & Risk Prevention,"Promoting climate change adaptation, risk prevention and management",VOID,M12,NAT 2000 & WFD,FA_P4,Priority 4,562210,187403.33,749613.33,75
IT,Italy,2014IT16RFOP011,3.2,Liguria - ERDF,ERDF,3,03,Competitiveness of SMEs,Enhancing the competitiveness of small and medium-sized enterprises (SMEs),More developed,VOID,VOID,VOID,VOID,67500000,67500000,135000000,50
ES,Spain,2014ES06RDRP002,5.2,Aragón  - Rural Development blabla from pipo,EAFRD,P5,04,Low-Carbon Economy,Supporting the shift towards a low-carbon economy in all sectors,VOID,M08,Forest,FA_5E,Carbon conservation / sequestration,10525000,4975000,15500000,67.9
UK,United Kingdom,2014UK06RDRP002,5.2,Northern Ireland - Rural Development,EAFRD,P4,06,Environment Protection & Resource Efficiency,Preserving and protecting the environment and promoting resource efficiency,VOID,M07,Basic services,FA_P4,Priority 4,121951.5,329720.72,451672.22,27
ES,Spain,2014ES06RDRP002,5.2,Aragón  - Rural Development blabla from pipo,EAFRD,P4,10,Educational & Vocational Training,"Investing in education, training and vocational training for skills and lifelong learning",VOID,M01,Knowledge,FA_P4,Priority 4,1185675.27,296418.82,1482094.09,80
IT,Italy,2014IT16M2OP002,4,Puglia  - ERDF/ESF,ERDF,IV,04,Low-Carbon Economy,Supporting the shift towards a low-carbon economy in all sectors,Less developed,VOID,VOID,VOID,VOID,197945604,197945604,395891208,50
UK,United Kingdom,2014UK06RDRP002,5.2,Northern Ireland - Rural Development,EAFRD,P4,05,Climate Change Adaptation & Risk Prevention,"Promoting climate change adaptation, risk prevention and management",VOID,M13,Areas with natural constraints,FA_P4,Priority 4,23780488,7926829.33,31707317.33,75
UK,United Kingdom,2014UK06RDRP002,5.2,Northern Ireland - Rural Development,EAFRD,P6,09,Social Inclusion,"Promoting social inclusion, combating poverty and any discrimination",VOID,M07,Basic services,FA_6B,Local development,2439024,6594398.22,9033422.22,27
NL,Netherlands,2014NL16RFOP001,3,North Netherlands - ERDF,ERDF,2,04,Low-Carbon Economy,Supporting the shift towards a low-carbon economy in all sectors,More developed,VOID,VOID,VOID,VOID,20708000,40199000,60907000,34
PL,Poland,2014PL16M2OP008,3.1,Opolskie Voivodeship - ERDF/ESF,ERDF,IV,05,Climate Change Adaptation & Risk Prevention,"Promoting climate change adaptation, risk prevention and management",Less developed,VOID,VOID,VOID,VOID,23000000,4058824,27058824,85
PL,Poland,2014PL16M2OP008,3.1,Opolskie Voivodeship - ERDF/ESF,ERDF,VI,07,Network Infrastructures in Transport and Energy,Promoting sustainable transport and removing bottlenecks in key network infrastructures,Less developed,VOID,VOID,VOID,VOID,196000000,34588236,230588236,85
PL,Poland,2014PL16M2OP008,3.1,Opolskie Voivodeship - ERDF/ESF,ERDF,II,03,Competitiveness of SMEs,Enhancing the competitiveness of small and medium-sized enterprises (SMEs),Less developed,VOID,VOID,VOID,VOID,84900000,14982353,99882353,85
PL,Poland,2014PL16M2OP008,3.1,Opolskie Voivodeship - ERDF/ESF,ESF,VII,08,Sustainable & Quality Employment,Promoting sustainable and quality employment and supporting labour mobility,Less developed,VOID,VOID,VOID,VOID,95207517,16801327,112008844,85
ES,Spain,2014ES06RDRP002,5.2,Aragón  - Rural Development blabla from pipo,EAFRD,P2,03,Competitiveness of SMEs,Enhancing the competitiveness of small and medium-sized enterprises (SMEs),VOID,M06,Farm and business development,FA_2B,New farmers,59215223.25,15984478.24,75199701.49,78.74
ES,Spain,2014ES06RDRP002,5.2,Aragón  - Rural Development blabla from pipo,EAFRD,P4,05,Climate Change Adaptation & Risk Prevention,"Promoting climate change adaptation, risk prevention and management",VOID,M13,Areas with natural constraints,FA_P4,Priority 4,18982959,6327653,25310612,75
IT,Italy,2014IT16M2OP002,4,Puglia  - ERDF/ESF,ERDF,X,10,Educational & Vocational Training,"Investing in education, training and vocational training for skills and lifelong learning",Less developed,VOID,VOID,VOID,VOID,76105961,76105961,152211922,50
ES,Spain,2014ES06RDRP002,5.2,Aragón  - Rural Development blabla from pipo,EAFRD,P4,06,Environment Protection & Resource Efficiency,Preserving and protecting the environment and promoting resource efficiency,VOID,M12,NAT 2000 & WFD,FA_P4,Priority 4,562210,187403.33,749613.33,75
ES,Spain,2014ES06RDRP002,5.2,Aragón  - Rural Development blabla from pipo,EAFRD,P4,05,Climate Change Adaptation & Risk Prevention,"Promoting climate change adaptation, risk prevention and management",VOID,M07,Basic services,FA_P4,Priority 4,2083235.43,1847397.46,3930632.89,53
ES,Spain,2014ES06RDRP002,5.2,Aragón  - Rural Development blabla from pipo,EAFRD,P3,03,Competitiveness of SMEs,Enhancing the competitiveness of small and medium-sized enterprises (SMEs),VOID,M03,Quality schemes,FA_3A,Competitiveness of producers,3832750,3398853.77,7231603.77,53
IT,Italy,2014IT16M2OP002,4,Puglia  - ERDF/ESF,ERDF,VI,06,Environment Protection & Resource Efficiency,Preserving and protecting the environment and promoting resource efficiency,Less developed,VOID,VOID,VOID,VOID,570950000,570950000,1141900000,50
UK,United Kingdom,2014UK06RDRP002,5.2,Northern Ireland - Rural Development,EAFRD,P2,10,Educational & Vocational Training,"Investing in education, training and vocational training for skills and lifelong learning",VOID,M01,Knowledge,FA_2A,Farm performance,7682927,20772358.19,28455285.19,27
UK,United Kingdom,2014UK06RDRP002,5.2,Northern Ireland - Rural Development,EAFRD,P5,04,Low-Carbon Economy,Supporting the shift towards a low-carbon economy in all sectors,VOID,M08,Forest,FA_5E,Carbon conservation / sequestration,7868293,2622764.33,10491057.33,75
